FIPS,WSI
21179,0.322
21181,0.365
21183,0.310
21185,0.354
21187,0.328
21189,0.317
21191,0.362
21193,0.351
21195,0.391
21197,0.332
21199,0.298
21201,0.356
21203,0.300
21205,0.358
21207,0.310
21209,0.328
21211,0.326
21213,0.308
21215,0.326
21217,0.288
21219,0.307
21221,0.280
21223,0.364
21225,0.339
21227,0.305
21229,0.318
21231,0.284
21233,0.341
21235,0.274
21237,0.340
21239,0.329
22001,0.398
22003,0.305
22005,0.298
22007,0.292
22009,0.320
22011,0.399
22013,0.395
22015,0.496
22017,0.462
22019,0.373
22021,0.533
22023,0.323
22025,0.380
22027,0.395
22029,0.343
22031,0.518
22033,0.309
22035,0.501
22037,0.289
22039,0.340
22041,1.465
22043,0.359
22045,0.405
22047,0.291
22049,0.375
22051,0.294
22053,0.446
22055,0.486
22057,0.294
22059,0.353
22061,0.387
22063,0.296
22065,0.472
22067,1.082
22069,0.377
22071,0.301
22073,0.622
22075,0.290
22077,0.284
22079,0.354
22081,0.421
22083,4.406
22085,0.536
22087,0.291
22089,0.321
22091,0.296
22093,0.302
22095,0.293
22097,0.364
22099,0.323
22101,0.319
22103,0.289
22105,0.275
22107,0.443
22109,0.290
22111,0.374
22113,0.371
22115,0.360
22117,0.276
22119,0.456
22121,0.292
22123,1.564
22125,0.301
22127,0.372
23001,0.222
23003,0.256
23005,0.240
23007,0.236
23009,0.209
23011,0.234
23013,0.225
23015,0.243
23017,0.218
23019,0.235
23021,0.237
23023,0.232
23025,0.241
23027,0.227
23029,0.215
23031,0.232
24001,0.357
24003,0.417
24005,0.395
24009,0.427
24011,0.384
24013,0.377
24015,0.349
24017,0.432
24019,0.426
24021,0.384
24023,0.263
24025,0.360
24027,0.432
24029,0.353
24031,0.417
24033,0.427
24035,0.356
24037,0.433
24039,0.452
24041,0.355
24043,0.418
24045,0.459
24047,0.455
24510,0.398
25001,0.252
25003,0.228
25005,0.236
25009,0.274
25011,0.216
25013,0.243
25015,0.245
25017,0.261
25021,0.263
25023,0.246
25025,0.281
25027,0.260
26001,0.603
26003,0.388
26005,0.420
26007,0.596
26009,0.248
26011,0.480
26013,0.423
26015,0.492
26017,0.583
26019,0.394
26021,0.420
26023,0.452
26025,0.443
26027,0.460
26029,0.244
26031,0.423
26033,0.439
26035,0.531
26037,0.602
26039,0.549
26041,0.475
26043,0.580
26045,0.514
26047,0.293
26049,0.589
26051,0.537
26053,0.464
26055,0.276
26057,0.574
26059,0.457
26061,0.359
26063,0.633
26065,0.599
26067,0.508
26069,0.488
26071,0.600
26073,0.539
26075,0.548
26077,0.445
26079,0.299
26081,0.486
26083,0.317
26085,0.383
26087,0.609
26089,0.348
26091,0.544
26093,0.594
26095,0.390
26097,0.449
26099,0.517
26101,0.355
26103,0.463
26105,0.388
26107,0.536
26109,0.595
26111,0.538
26113,0.484
26115,0.525
26117,0.538
26119,0.578
26121,0.443
26123,0.440
26125,0.544
26127,0.389
26129,0.495
26131,0.430
26133,0.482
26135,0.596
26137,0.443
26139,0.437
26141,0.570
26143,0.544
26145,0.591
26147,0.662
26149,0.473
26151,0.649
26153,0.383
26155,0.584
26157,0.631
26159,0.424
26161,0.574
26163,0.567
26165,0.378
27001,0.837
27003,0.993
27005,1.523
27007,1.424
27009,0.935
27011,2.358
27013,0.859
27015,1.117
27017,0.578
27019,1.070
27021,1.014
27023,1.626
27025,0.679
27027,1.953
27029,1.553
27031,0.511
27033,1.037
27035,0.964
27037,0.875
27039,0.650
27041,1.360
27043,0.801
27045,0.619
27047,0.629
27049,0.749
27051,2.306
27053,1.593
27055,0.628
27057,1.061
27059,0.793
27061,0.911
27063,0.917
27065,0.642
27067,1.239
27069,1.745
27071,0.887
27073,1.949
27075,0.562
27077,1.253
27079,0.933
27081,1.499
27083,1.215
27085,1.040
27087,1.665
27089,1.760
27091,0.831
27093,1.014
27095,0.792
27097,0.971
27099,0.592
27101,1.026
27103,1.135
27105,1.005
27107,1.951
27109,0.666
27111,1.613
27113,1.810
27115,0.588
27117,1.437
27119,2.037
27121,1.671
27123,1.336
27125,1.744
27127,1.154
27129,1.225
27131,0.709
27133,1.283
27135,1.517
27137,0.649
27139,1.069
27141,0.968
27143,1.065
27145,0.998
27147,0.685
27149,2.055
27151,1.863
27153,1.102
27155,2.591
27157,0.698
27159,1.172
27161,0.734
27163,0.806
27165,0.974
27167,2.149
27169,0.680
27171,1.003
27173,1.510
28001,0.342
28003,0.273
28005,0.294
28007,0.331
28009,0.291
28011,0.500
28013,0.302
28015,0.313
28017,0.290
28019,0.328
28021,0.341
28023,0.320
28025,0.284
28027,0.373
28029,0.331
28031,0.306
28033,0.308
28035,0.283
28037,0.355
28039,0.253
28041,0.299
28043,0.303
28045,0.248
28047,0.242
28049,0.321
28051,0.321
28053,0.427
28055,0.388
28057,0.295
28059,0.248
28061,0.311
28063,0.355
28065,0.302
28067,0.309
28069,0.328
28071,0.290
28073,0.273
28075,0.321
28077,0.302
28079,0.355
28081,0.283
28083,0.429
28085,0.294
28087,0.292
28089,0.316
28091,0.283
28093,0.297
28095,0.289
28097,0.312
28099,0.354
28101,0.327
28103,0.322
28105,0.304
28107,0.300
28109,0.267
28111,0.286
28113,0.263
28115,0.288
28117,0.290
28119,0.349
28121,0.327
28123,0.339
28125,0.404
28127,0.320
28129,0.309
28131,0.256
28133,0.518
28135,0.328
28137,0.307
28139,0.278
28141,0.283
28143,0.378
28145,0.281
28147,0.270
28149,0.323
28151,0.495
28153,0.315
28155,0.309
28157,0.297
28159,0.346
28161,0.300
28163,0.321
29001,0.562
29003,0.785
29005,1.028
29007,0.599
29009,0.452
29011,0.503
29013,0.625
29015,0.670
29017,0.394
29019,1.920
29021,1.060
29023,0.396
29025,0.667
29027,1.884
29029,0.574
29031,0.511
29033,0.535
29035,0.356
29037,0.578
29039,0.553
29041,0.579
29043,0.454
29045,0.556
29047,0.537
29049,0.627
29051,1.184
29053,1.278
29055,0.498
29057,0.505
29059,0.552
29061,0.687
29063,0.682
29065,0.454
29067,0.432
29069,0.356
29071,0.615
29073,0.549
29075,0.688
29077,0.490
29079,0.670
29081,0.682
29083,0.573
29085,0.528
29087,0.940
29089,1.722
29091,0.393
29093,0.398
29095,0.503
29097,0.479
29099,0.531
29101,0.556
29103,0.574
29105,0.518
29107,0.496
29109,0.483
29111,0.567
29113,0.578
29115,0.644
29117,0.667
29119,0.487
29121,0.568
29123,0.375
29125,0.507
29127,0.565
29129,0.671
29131,0.730
29133,0.920
29135,2.105
29137,0.564
29139,0.734
29141,0.734
29143,0.417
29145,0.484
29147,0.725
29149,0.410
29151,0.678
29153,0.429
29155,0.346
29157,0.771
29159,0.670
29161,0.487
29163,0.579
29165,1.123
29167,0.504
29169,0.487
29171,0.594
29173,0.606
29175,0.633
29177,0.482
29179,0.389
29181,0.353
29183,0.685
29185,0.564
29186,0.640
29187,0.418
29189,0.777
29195,0.563
29197,0.572
29199,0.569
29201,0.523
29203,0.358
29205,0.557
29207,0.350
29209,0.436
29211,0.635
29213,0.488
29215,0.418
29217,0.546
29219,0.818
29221,0.481
29223,0.375
29225,0.472
29227,0.686
29229,0.470
29510,0.875
30001,2.166
30003,2.787
30005,11.423
30007,1.840
30009,0.874
30011,7.145
30013,1.716
30015,2.539
30017,5.729
30019,11.900
30021,4.831
30023,1.445
30025,5.022
30027,3.505
30029,0.258
30031,0.865
30033,6.244
30035,1.612
30037,10.288
30039,0.983
30041,8.680
30043,1.697
30045,2.196
30047,0.359
30049,1.259
30051,3.881
30053,0.505
30055,37.064
30057,0.951
30059,2.779
30061,0.596
30063,0.535
30065,10.148
30067,0.637
30069,7.232
30071,11.363
30073,1.501
30075,12.352
30077,0.637
30079,4.722
30081,0.656
30083,5.886
30085,8.529
30087,3.659
30089,0.455
30091,9.277
30093,1.486
30095,0.680
30097,0.669
30099,3.568
30101,3.434
30103,3.407
30105,9.424
30107,14.895
30109,5.327
30111,2.003
31001,100.000
31003,100.000
31005,4.987
31007,100.000
31009,2.209
31011,100.000
31013,100.000
31015,4.499
31017,2.529
31019,100.000
31021,1.477
31023,4.133
31025,1.406
31027,16.133
31029,100.000
31031,2.364
31033,100.000
31035,100.000
31037,3.148
31039,2.143
31041,38.143
31043,1.691
31045,13.217
31047,100.000
31049,100.000
31051,2.513
31053,3.038
31055,20.193
31057,100.000
31059,100.000
31061,100.000
31063,100.000
31065,100.000
31067,3.012
31069,11.302
31071,2.890
31073,100.000
31075,2.310
31077,37.221
31079,100.000
31081,100.000
31083,100.000
